"scenario","year","1","2","3","4","5","6","7","8","9","10","11","12"
"AltS74",2014,-1183.74175868071,-3213.877658444,-4625,-1341.16558691812,-1600.72999590783,-1773.01321202745,-2255.23600151901,-2657.5403245407,-3283.56476849602,-2430.93623837722,-1669.12109420044,-5290.32258064516
"AltS74F80",1995,-3645.16129032258,-4464.28571428572,-3395.54752985862,-3995,44.4461059133231,-4262.18219030251,-9065.10777790027,-7535.61181565566,-8569.95640450848,-4712.72140711783,-10003.8779792307,-5290.32258064516
"AltS74F80",1996,-4516.12903225806,-4048.27586206897,-3500,-1032.62692696003,-1322.01378847352,-4904.94520081084,-7672.85353282243,-11313.3632818447,-8992.46812082061,-4441.20577579874,-8729.80681594074,-1971.61213458415
"AltS74F80",1997,24773.7696679866,93.5918059970996,-3500,-1573.77668216054,-2373.4148539042,-4550.15859344443,-10264.1296245171,-10955.6869671094,-4625.50908260577,-4638.3412499401,-8916.17606013286,-5290.32258064517
"AltS74F80",1998,-4516.12903225806,3672.51112033927,-3500,-2942.13851056579,42.4257614457227,-1977.73394189566,-8171.53030085068,-9432.13866751962,-8151.84825191077,-8852.08045518086,-8777.83527557341,-5290.32258064516
"AltS74F80",1999,-4516.12903225807,-4033.03571428571,-3500,-2366.95536496433,-2058.82411840934,-4693.80277775753,-7774.8150442194,-11355.2366995096,-6114.79997718674,-5472.23217765038,-9253.53050130704,-5325.70651711629
"AltS74F80",2000,-3645.16129032258,-4172.41379310345,-3500,-1128.99604000855,-2126.17815946183,-4689.4333333128,-7953.01130739773,-11341.5455663586,-4018.48704064001,-4184.51346649707,-7787.33587729372,-5467.37156046793
"AltS74F80",2001,-5000,-4316.42857142857,-3935,-1992.95391150925,-2263.87705603602,-3304.47942482815,-4871.58880668259,-3800.90310560159,-4917.10695865945,-3844.79719131822,-5581.5066390195,-5290.32258064516
"AltS74F80",2002,-4516.12903225806,-4156.25,-3500,-2407.66593000056,-1901.86965187574,-5000,-7017.69200716579,-6173.42041886129,-4922.27576194817,-4047.12062581023,-5010.14033665423,-5290.32258064516
"AltS74F80",2003,-4516.12903225806,-4033.03571428571,-3500,-2283.87451167976,-1987.87391746764,-4689.4333333128,-9938.74043224353,-11394.8238035092,-5313.3799185207,-3768.21180680701,-7488.86418604326,-5290.32258064516
"AltS74F80",2004,-4516.12903225806,-4172.41379310345,-3500,-2499.8251393104,-1967.4407226798,-4689.4333333128,-11272.241351922,-11486.4458627004,-4124.6686496271,-4440.11971068255,-7329.91298843697,-5290.32258064516
"AltS74F80",2005,-4516.12903225806,-4156.25,-3500,-534.356619160811,-3462.63487138911,-5000,-8731.5957812633,-10379.4364408396,-8227.19262470702,-7617.14169368358,-7655.95235051809,-5290.32258064516
"AltS74F80",2006,-4516.12903225806,-4464.28571428571,-1648.80917775988,2772.92211020422,4697.20220480291,-4123.31570213,-7764.78319434009,-7265.38962007484,-7463.99192874257,-5685.55342929651,-9362.01515421948,-5290.32258064516
"AltS74F80",2007,-5000,-4156.25,-3500,-2162.61700487538,-2487.22001907455,-5000,-11107.2461745904,-8739.52996890841,-5622.92959277419,-4207.85733647474,-3057.6437235546,-3660.4676525896
"AltS74F80",2008,-3645.16129032258,-4172.41379310345,-3935,-2377.10490918291,-1067.13566014597,-5000,-5780.57565929617,-3624.28463519288,-4689.23764804465,-2032.68023207524,-2414.85972709634,-2663.46343446328
"AltS74F80",2009,-2458.82510632032,-4427.32142857143,-3935,-2534.67473927797,-1862.3731487358,-5000,-5291.08403650736,-3688.58038160838,-4747.81090063928,-5077.96448238623,-3372.56317013635,-4030.41176373687
"AltS74F80",2010,-3645.16129032258,-4156.25,-3500,-1559.18756209058,-2046.13124433831,-5000,-9693.30228230102,-10578.360080623,-9107.19643816994,-9412.63384846011,-9108.54593963079,-5290.32258064516
"AltS74F80",2011,-4516.12903225806,-1761.42980046049,2619.76805005672,-3842.93551786183,-1198.22641196635,-5000,-9698.99228080467,-9568.46246986031,-8518.61532324388,-7758.52075466642,-9376.19616605891,-7395.94441597959
"AltS74F80",2012,-5000,-4450.04617658927,-3935,-2060.41553777096,-2316.84797095598,-5000,-11304.4630084008,-10846.7703876013,-6055.13184794751,-5878.55913923285,-6368.29694685969,-5290.32258064516
"AltS74F80",2013,-4516.12903225806,-4475,-3500,-1871.65557383705,-2574.13337158987,-5000,-6170.73083606955,-5139.52484483446,-5300.9301702276,-2278.81039206356,-2321.45772631698,-2755.93384835937
"AltS74F80",2014,-899.32190466964,-3309.85153363438,-4625,-1339.96245299097,-1598.92836891883,-1776.71782690864,-2263.85992917387,-2663.16121589411,-3281.86169767787,-2430.47387264818,-1674.74991914749,-5290.32258064516
