"month","region","year","sal_AltF74","sal_AltF80","sal_AltNoX2","sal_AltS74","sal_AltS74F80"
1,"NW Suisun",1925,2.71641617233977,2.71585690138318,2.71562092018651,2.71678518165908,2.71661683935828
1,"NW Suisun",1926,2.53218302727188,2.53150841472453,2.52096839886267,2.53181423254339,2.53230366378212
1,"NW Suisun",1927,0.586613756232749,0.571441611642522,0.553215193367365,0.5691822866465,0.583202414517158
1,"NW Suisun",1928,2.01145844228058,2.11645558352905,1.87287630945042,1.86514739828577,2.07600418092311
1,"NW Suisun",1929,2.78874750304878,2.81981184897328,2.82393576201208,2.75115144371394,2.82333724153098
1,"NW Suisun",1930,0.993970615573899,0.965290561015395,0.967891366789379,0.979846699278701,0.999534447881683
1,"NW Suisun",1931,2.8244655910167,2.37923638173814,2.36407901739179,2.82332692042911,2.80041092287698
1,"NW Suisun",1932,1.14430228789374,1.00015068632787,1.13945405016468,1.14266952952542,1.1473173337589
1,"NW Suisun",1933,2.64713694357351,2.6519365546418,2.65217901161388,2.65342426459197,2.65561970155008
1,"NW Suisun",1934,1.95547899173272,1.97753900001173,1.90583498448694,1.93954821822572,1.94308462404043
1,"NW Suisun",1935,1.32114450675834,1.33050386611944,1.32388709154143,1.32140304454705,1.30985987669746
1,"NW Suisun",1936,0.594247217765687,0.58661784604233,0.59160296943997,0.594567104686874,0.594991775051769
1,"NW Suisun",1937,2.65052378443868,2.65006271771412,2.64810403641003,2.65027231834508,2.65090271990409
1,"NW Suisun",1938,0.24730207531978,0.246940655554972,0.246577183704225,0.247182909289615,0.247435445621628
1,"NW Suisun",1939,2.77040110986336,2.84449671435595,2.71573831230383,2.83702563366453,2.80260469241291
1,"NW Suisun",1940,0.846970657807077,0.823789826627557,0.827606072613996,0.878740553881011,0.87990262134354
1,"NW Suisun",1941,0.1,0.1,0.1,0.1,0.1
1,"NW Suisun",1942,0.1,0.1,0.1,0.1,0.1
1,"NW Suisun",1943,0.1,0.1,0.1,0.1,0.1
